121.58.254.36,3128,,,,,,
68.183.191.179,44290,,,,,,
51.79.50.22,9300,,,,,,
200.105.215.22,33630,,,,,,
45.8.179.241,1337,,,,,,
201.229.250.19,8080,,,,,,
43.135.156.58,59394,,,,,,
141.94.137.176,1337,,,,,,
43.255.113.232,8082,,,,,,
187.217.54.84,80,,,,,,
82.99.194.30,3128,,,,,,
121.1.41.162,111,,,,,,
139.99.237.62,80,,,,,,
202.40.177.69,80,,,,,,
87.247.186.105,80,,,,,,
37.32.22.223,80,,,,,,
45.91.81.132,1080,,,,,,
139.162.8.86,80,,,,,,
172.104.91.25,80,,,,,,
41.188.149.75,80,,,,,,
120.28.139.232,8080,,,,,,
89.38.98.236,80,,,,,,
80.48.119.28,8080,,,,,,
198.59.191.234,8080,,,,,,
208.82.61.66,3128,,,,,,
49.0.2.242,8090,,,,,,
192.99.34.64,1337,,,,,,
169.57.1.85,8123,,,,,,
164.62.72.90,80,,,,,,
83.229.73.175,80,,,,,,
89.36.94.242,1337,,,,,,
83.229.72.174,80,,,,,,
20.111.54.16,80,,,,,,
118.27.113.167,8080,,,,,,
117.251.103.186,8080,,,,,,
49.207.36.81,80,,,,,,
165.3.122.6,80,,,,,,
110.164.3.7,8888,,,,,,
20.24.43.214,8123,,,,,,
185.143.146.171,8080,,,,,,
210.188.163.16,8080,,,,,,
104.148.36.10,80,,,,,,
198.49.68.80,80,,,,,,
197.242.159.51,80,,,,,,
185.191.76.84,80,,,,,,
209.182.239.62,80,,,,,,
45.138.135.94,8080,,,,,,
134.238.252.143,8080,,,,,,
47.242.43.30,1080,,,,,,
76.72.138.48,3128,,,,,,
130.18.255.115,8080,,,,,,
198.11.175.192,8080,,,,,,
103.215.207.81,83,,,,,,
157.100.56.181,999,,,,,,
148.251.66.8,1988,,,,,,
136.243.3.245,1988,,,,,,
148.251.184.47,1988,,,,,,
102.38.6.225,8080,,,,,,
81.134.57.82,3128,,,,,,
185.217.137.242,1337,,,,,,
154.19.187.251,3128,,,,,,
96.126.103.64,9991,,,,,,
221.132.28.18,8090,,,,,,
45.130.141.175,8000,,,,,,
45.56.75.90,5344,,,,,,
85.159.214.61,1080,,,,,,
110.238.113.119,8080,,,,,,
47.254.195.196,8080,,,,,,
